Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
Link/Delink account for use at ATMs and for NETS purchases,"You can manage accounts for use with your cards for use at ATMs and for NETS purchases. To manage linking or delinking of accounts.Via OCBC Internet Banking (desktop):Login with your OCBC Online Banking Access Code and PIN.On the top menu, select ""Customer Service"" > “Cards” > “Manage accounts to ATM use”.Select your card (ATM/debit/credit) and your current/savings account(s) to link or delink to the selected card.Click “Next” to proceed and complete your request.Via OCBC Mobile Banking app:Login to mobile banking.Tap on the menu bar on the top left of the screen.Tap on ""Card services"".Select ""Link cards to account for ATM"".Select your card (ATM / debit / credit) and your current / savings account(s) to link or delink to the selected card.Tap ""Confirm"" to complete your request.",58,788,10,126
Passbook Transaction Reference Codes,"Mnemonic codeDescriptionATMATM TransactionBPBill PaymentCATCashCard Top-UpCLCLate Cheque DepositCLSClose AccountCDCheque DepositCSLConsolidated ItemDEPCash DepositECError CorrectionEPSElectronic Payment for SharesESAElectronic Security ApplicationGIRGIROHCQHouse TransferHSEHousing Loan-GIROINBInternet Banking TransactionINTInterestNRMEasiRemitNTONo-Book Transfer DepositNTSNETSNTWNo-Book Transfer WithdrawalPERPersonal Loan – GIROPHNPhonebank TransactionRWDSmartchange RewardSALSalary CreditSATShared ATMSCService ChargeSGSSGS T-Bill/Bond ApplicationSMCSpare ChangeSTPATM StampsTFRFunds TransferTOPTop-UpTRDTransfer / Coin DepositTRWTransfer WithdrawalUPDUpdateWDCash WithdrawalFor other 3 letter mnemonic codes, please refer to thisguideline.",36,745,4,52
Close a Deposit Account,"Account Closure is permanent, and cannot be reinstated.Close Account via FormComplete anAccount Closure formand mail it to us.Close Account via BranchLocate BranchComplete anAccount Closure format Branch to close account.Close Joint-All AccountFor closure of Joint-All accounts, all account holders are required to be present at an OCBC branch.",23,344,4,47
Revision of OCBC Credit Cards interest rate from 26.88% to 27.78% effective 8thMay 2023,"From 8 May 2023, the interest rate applied to the outstanding balance for all OCBC credit cards will be 27.78% instead of 26.88% per annum. If the minimum amount is not paid by the due date, a higher interest rate of 30.78% per annum will apply.",87,245,14,46
Credit Card Payment Methods,"As some payment methods may require more processing time, we encourage you to pay your bills early to avoid incurring late fees. The methods marked with an asterisk are instant – just clickhereto find out how to use them.Payment methodsProcessing time requiredOCBC ATM*OCBC Cash Deposit Machine*OCBC Online Banking and OCBC Digital app*Phone Banking*Instant once transaction is completed.InterBank GIRO*Automatic deduction will be made on the payment due date from the bank account indicated in yourInterBank GIRO application formPlease ensure that there are sufficient funds in the account at least one day before the payment due date.FAST Funds Transfer from any participating bank’s online banking platform*Almost instant once transaction is completed.Refer to the Association of Banks in Singapore’s website fora list of participating banks.ChequeCrossed and made payable to “OCBC Bank”Do not post-date your chequesThree business days after we receive the cheque.You may drop the cheque into our Quick Deposit boxes at any OCBC Bank branch in Singapore or mail it to us. Please clickhereto download an envelope.Cash Payment at any OCBC Bank branchSame dayAXS StationAXS m-Station (mobile app)AXS e-Station (web-based)Same day if payment is made by 11:59pm. Payments made after 11:59pm will be processed the next calendar day.Remember to pay the bill for each card account separately.NETS or CashCard via iNets KiosksSame day if payment is made before 5pm. Payments made after 5pm will be processed the next calendar day.You should pay the bill for each card account separately.Another Bank’s Internet Banking ServiceUp to three business days.",27,1646,4,245
ATM withdrawal and Visa/Mastercard spending limit,"OCBC Internet BankingLog in toOCBC Online Bankingwith your access code and PIN or SingpassScroll over “Customer Service” then “Cards services” and select “Manage card daily limit”Select card to change the ATM withdrawal or spending limitSelect the new limit. Tap on the ""Next"" buttonTap on the “Submit” button to confirmOCBC Digital appLog in to OCBC Digital appTap on the menu bar on the top left of the screenTap on “Card services”Select “Manage card daily limit”Select card to change the daily limitSelect the limit amount you prefer for withdrawal and spendingTap on the “Next” buttonTap on the “Confirm” button after reviewing the changesVia other channelsVisit your nearestOCBC branch, or call us (phone banking) at1800 363 3333. If overseas, call+65 6363 3333.",49,767,6,119
Credit and Debit Card activation,You can activate Credit and Debit card via OCBC the following channel:Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bard on the top left of the screen.Tap on “Card services”.Select “ Activate credit/debit card”Select your cards and enter the expiry date of the card to activate.Tap on “Next” buttonTap on “Agree” button after reviewing the Term and ConditionsTap on “Submit” button after reviewing the card activations.Via OCBC Internet BankingLog in to OCBC Digital app.Scroll over “Customer Service” then “Card services” and select “Activate credit/debit card”Select your cards and enter the expiry date of the card. Check the Term and conditionsTap on “Next” buttonTap on “Submit” button after reviewing the card activations.Alternatively you can use card activation formhere,32,791,5,120
How to enable/disable Cash Advance,"To enable/disable Cash Advance feature, please use any of the following options.OCBC Digital app:Log in to OCBC Digital appTap on the top left menuSelect “Card services”Select “Manage Cash Advance”Select the relevant card(s) to enable/disableOCBC Online Banking:Log in to OCBC Online BankingGo to “Customer Service”Select “Manage Cash Advance”Select the relevant card(s) to enable/disable",34,388,5,52
How to change the Cash Advance limits and channels,"To change the Cash Advance limit and channels, please use any of the following options.OCBC Digital app:Log in to OCBC Digital appTap on the top left menuSelect “Card services”Select “Manage Cash Advance”Select the relevant card(s) to enable/disableOCBC Online Banking:Log in to OCBC Online BankingGo to “Customer Service”Select “Manage Cash Advance”Select the relevant card(s) to enable/disable",50,395,9,55
How to apply for EasiCredit and Card Waiver,"Credit Card Fee WaiverTo submit a credit card fee waiver request, please use any of the following options:Via Internet BankingLog in toOCBC Internet BankingGo to ""Customer Service""Select ""Credit card fee waiver""Via OCBC DigitalLog in to OCBC Digital appTap on the top left menuTap on ""More services"" → ""Card services"" → ""Credit card fee waiver""Via Phone BankingHave your credit card readyCall us and when prompted, and say ""credit card fee waiver""Key in your 16-digit card number when promptedYour waiver request is subject to approval. You will be notified on the outcome immediately.EasiCredit Fee WaiverTo submit an EasiCredit waiver request, please follow below instructions in our Phone Banking system:Press <1> for EnglishPress <1> for Phone Banking menuPress <*2> for Fee waiverPress <2> for EasiCreditKey in your 7-digit NRIC number or 12-digit Easicredit account numberPress <1> to confirmCustomer will be prompted to key in registered mobile numberPress <1> to confirm mobile numberYour waiver request is subject to approval. You will be notified of the outcome via SMS in 5 business days.",43,1099,8,168
Credit Card Fees & Charges,ViewFees & Charges for Credit Cards.All foreign currency transactions are subjected to a currency conversion charge imposed by the respective card associations and bank administrative fee of the foreign transaction amount.We will be revising the Credit Card fees & charges on 8 May 2023.View the Fees & Charges for Credit Cards.,26,328,5,51
Debit Card Fees & Charges,We will be revising the Debit Card fees & charges on 1 January 2023.View the Fees & Charges for Debit Card.,25,107,5,21
Automatic Annual Fee Waiver,"No card annual fee will be charged for the first 1 or 2 years, depending on the OCBC Card issued to you. After this, just meet the minimum spending for 1 year - starting from the month after your card was issued - to earn an annual fee waiver for your OCBC Card.What counts towards the minimum amount you must spend:Retail transactions, monthly Instalment Payment Plans and monthly PayLite instalments, so long as the amount is shown in your statement during the year.What does not count towards the minimum amount you must spend:Cash-On-Instalments, cash advances and bank charges and any refunded amounts.OCBC cardAnnual Service FeeFee waiver period (after card is issued)Minimum spending required to have your Annual Service Fee automatically waivedOCBC Rewards CardS$196.202 yearsS$10,000OCBC Titanium Credit CardS$196.202 yearsS$10,000OCBC 365 Credit CardS$196.202 yearsS$10,000OCBC NXT Credit CardS$163.502 yearsS$10,000OCBC Great Eastern Cashflo Credit CardS$163.502 yearsS$5,000FRANK Credit CardS$196.202 yearsS$10,000OCBC Arts Credit CardS$163.502 yearsS$10,000BEST-OCBC Credit CardS$163.502 yearsS$5,000OCBC Platinum Credit CardS$163.502 yearsS$10,000OCBC INFINITY Cashback CardS$196.201 yearS$10,000OCBC 90°N MastercardS$196.201 yearS$10,000OCBC 90°N Visa CardS$196.201 yearS$10,000OCBC Debit CardS$20.00Waived perpetually if your card application was approved on or after 1 November 2012S$1,800 if your card application was approved before 1 November 2012FRANK Debit CardFreeN.A.N.A.We have not included the minimum spending required to have the Annual Service Fee automatically waived for the following cards: OCBC VOYAGE, OCBC Premier VOYAGE and Bank of Singapore VOYAGE Credit Card. For details, please call+65 6438 6088or contact your Relationship Manager.",27,1772,4,235
Check card balance and available credit,"Internet BankingUpon logging into OCBC Online Banking, click “Your Accounts”From the drop-down, click “Overview”Scroll down to view “What you owe (Liabilities)”; Credit Cards.Look for “Amount Due” for the specific card typeOCBC DigitalLog in to OCBC Digital app.Select ""What you owe"".Select the relevant Credit Card to view your Credit Card balance.Phone BankingDial1800 363 3333or+65 6363 3333(if overseas)Select Language PreferencePress *3 and enter your phone banking access code and PIN followed by #Select 1 for Balance and transactionSelect 1 for BalanceSelect 1 for Credit CardNote: Your credit card balance does not include any payment or transaction made todaySMS BankingSMSin to check on your credit card latest statement outstanding balance",39,751,6,107
Check and redeem OCBC$,"Online BankingLogin to online banking.Under ""Rewards"", select ""Rewards"".Click ""Redeem your rewards"" and a new browser will open automatically.Select card type and click ""next"".Select the rewards category you are interested in.Select the Account / Card No. to redeem from. Your OCBC$ Rewards voucher will be sent to the corresponding mailing address of the selected account. To redeem an OCBC$ Reward that requires OCBC$ and cash, please select a credit card account as the cash component will be debited from your credit card account.Select your desired OCBC$ Reward and click ""add to cart"".Select the OCBC Card number you wish to use to make your redemption.Select the quantity of the reward.Select ""Check Out"" to confirm redemption or click ‘Continue Shopping’ to continue redeeming more OCBC$ Rewards.To redeem an OCBC$ Reward that requires OCBC$ and cash, please select a credit card account as the cash component will be debited from your credit card account.An OCBC$ Rewards voucher will be sent to you within 7 working days.Phone BankingCall1800 363 3333or+65 6363 3333when overseas.Press 1 for English, 2 for MandarinPress *3 and enter your phone banking access code and PIN followed by #Press 3 for Rewards, temp limit increase or PIN changePress 1 for Rewards Redemption.Enter your 16-digit Credit Card Number follow by #.Press 1 to confirm.Enter the 6-digit product code.Enter quantity of the reward.Press 1 to confirmAn OCBC$ Rewards Voucher will be sent to you within 7 working daysNote: This service is applicable to principle card only.SMS BankingSMSin for rewards redemption",22,1590,4,246
View credit card transactions,"View them on online banking.Upon logging in to online banking, click “Your Accounts”.From the drop-down menu, click “Overview”.Scroll down to view “What you owe (Liabilities)”; Credit CardsClick on the specific card type.After clicking on the specific card type, select ""Details / Transactions"" from the popout tooltip.",29,319,4,46
Retrieve past statements,"Upon logging in to online banking, click “Your Accounts”.From the drop-down, click “Overview”.Scroll down to view “What you owe (Liabilities)”; Credit Cards.Click on the specific card type.From the drop-down menu, click “Documents”.",24,232,3,32
Revert to paper statements,"Yes. You can give us your instructions to revert to paper statements.Revert via online banking:Upon logging in to online banking, click ""Your Accounts""From the drop-down menu, click ""Overview""Scroll down to view ""What you owe (Liabilities)"", Credit CardsClick on the specific card typeFrom the drop-down menu, click ""Documents""Click ""Manage Documents"" on the leftUncheck the respective credit card account to opt out of eStatements",26,431,4,62
Activation/ deactivation of cards for overseas card usage,Please refer to theOverseas Usage Guideto find out how to activate or deactivate your card(s) for overseas cash withdrawal or overseas purchases.,57,145,8,22
Foreign Currency Transactions,"All Foreign currency transactions made in US dollars will be converted into Singapore dollars at the rate determined by the respective card associations or such rates as the Bank may determine from time to time. Transactions made in foreign currency other than US dollars will first be converted to US dollars before they are converted into Singapore dollars at the rate determined by the respective card associations (Visa or MasterCard International) or such rates as the Bank may determine from time to time. The conversion rate is applied on the date of posting to the Card Account and may be different from the rate in effect on the date of transaction.All foreign currency transactions mentioned above (including reversals and refunds) will be subject to the following:Until 3 December 2019, all foreign currency transactions are subjected to a currency conversion charge imposed by the respective card associations (1%) and a bank administrative fee (2%) of the foreign transaction amount.From 3 December 2019, all foreign currency transactions charged to OCBC Credit Cards are subjected to a currency conversion charge imposed by the respective card associations (1%) and a bank administrative fee (2.25%) of the foreign transaction amount.",29,1248,3,195
Singapore Dollar Transactions processed Overseas,An additional fee will be levied on all Visa and MasterCard transactions effected in Singapore dollars and processed overseas (including online transactions). This includes but is not limited to (i) any Visa or MasterCard retail transaction presented in foreign currency that you choose to pay in Singapore dollars via dynamic currency conversion and (ii) any online retail card transaction charged to your Visa and MasterCard cards on overseas websites in Singapore Dollars. The additional fee charged is 1% on all converted Singapore dollar amounts for each Visa and MasterCard transaction.,48,592,5,90
Submit required documents for credit card application,Uploaddocument for Card Applications,53,36,7,4
Dispute credit card transactions,"You can raise credit card transaction dispute via OCBC Online Banking.OCBC Internet BankingLog in to OCBC Online Banking with your access code and PINScroll over ""Customer Service"" then ""Card services"" and select ""Dispute credit card transaction""Select your card and transaction to dispute.Select 'reason' for your dispute and submit necessary information/attach supporting documents to submit your dispute.OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on ""Card services"".Select ""Dispute transactions"".Select your card and transaction to dispute.Indicate your reason for dispute and submit necessary information/attach supporting documents to submit your dispute.Learn more about card fraud and dispute resolution with these FAQs from ABSCredit Card Chargeback & Dispute ResolutionMobile MalwareAlternatively you may follow these steps to raise a dispute:To raise a dispute on your credit or debit card transactions, print and complete theDispute Declaration FormAttach relevant supporting documents (if applicable)Email or mail the completed Dispute Declaration Form to the BankUnauthorised transactions should be reported to the Bank within 7 days upon receiving Cards statement, or immediately upon receiving SMS notification alerts for the unauthorised transaction. The Bank will require you to submit the necessary information or supporting documents. The Bank will assist you to report the unauthorised transactions to the associations e.g. Visa or Mastercard in accordance with their respective rules. The fraud-related dispute rules relating to unauthorised transactions has a limit of up to 35 claims for Visa Cards and up to 15 claims for Mastercard Cards. There is no dispute rights for fully authenticated transactions such as transactions with One Time Password input. All decisions are subject to the respective association's sole discretion. The information on limits is correct as at November 2019.",32,1961,4,281
Credit Card and Debit Card Maintenance,Debit Card Maintenance FormCredit Card Maintenance FormTermination of Credit Card Accounts (for Deceased),38,105,6,13
Reset credit or debit card PIN,"You can request for a new PIN for your OCBC Credit and Debit Card via OCBC Online Banking.OCBC Internet BankingLog in to OCBC Online Banking with your access code and PIN.Navigate to ""Customer Service"" then ""Cards services"" and select “Reset Card PIN"".Select your card.Set up your new 6-digit PIN.OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on ""Card services"".Select “Reset card PIN"".Select your card that you wish to reset the card PIN.Set up your new 6-digit PIN.",30,514,6,87
Request for a replacement card,"You can request for a replacement card via OCBC Online Banking.OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on ""Card services"".Select “Replace Card"".Select your card that you wish to replace.Select the reason why you are replacing your card.",30,289,5,48
Credit and Debit Card activation,You can activate Credit and Debit card via OCBC the following channel:Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bard on the top left of the screen.Tap on “Card services”.Select “ Activate credit/debit card”Select your cards and enter the expiry date of the card to activate.Tap on “Next” buttonTap on “Agree” button after reviewing the Term and ConditionsTap on “Submit” button after reviewing the card activations.Via OCBC Internet BankingLog in to OCBC Digital app.Scroll over “Customer Service” then “Card services” and select “Activate credit/debit card”Select your cards and enter the expiry date of the card. Check the Term and conditionsTap on “Next” buttonTap on “Submit” button after reviewing the card activations.Alternatively you can use card activation formhere,32,791,5,120
Activation/ deactivation of cards for overseas card usage,Please refer to theOverseas Usage Guideto find out how to activate or deactivate your card(s) for overseas cash withdrawal or overseas purchases.,57,145,8,22
Dispute credit card transactions,"You can raise credit card transaction dispute via OCBC Online Banking.OCBC Internet BankingLog in to OCBC Online Banking with your access code and PINScroll over ""Customer Service"" then ""Card services"" and select ""Dispute credit card transaction""Select your card and transaction to dispute.Select 'reason' for your dispute and submit necessary information/attach supporting documents to submit your dispute.OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on ""Card services"".Select ""Dispute transactions"".Select your card and transaction to dispute.Indicate your reason for dispute and submit necessary information/attach supporting documents to submit your dispute.Learn more about card fraud and dispute resolution with these FAQs from ABSCredit Card Chargeback & Dispute ResolutionMobile MalwareAlternatively you may follow these steps to raise a dispute:To raise a dispute on your credit or debit card transactions, print and complete theDispute Declaration FormAttach relevant supporting documents (if applicable)Email or mail the completed Dispute Declaration Form to the BankUnauthorised transactions should be reported to the Bank within 7 days upon receiving Cards statement, or immediately upon receiving SMS notification alerts for the unauthorised transaction. The Bank will require you to submit the necessary information or supporting documents. The Bank will assist you to report the unauthorised transactions to the associations e.g. Visa or Mastercard in accordance with their respective rules. The fraud-related dispute rules relating to unauthorised transactions has a limit of up to 35 claims for Visa Cards and up to 15 claims for Mastercard Cards. There is no dispute rights for fully authenticated transactions such as transactions with One Time Password input. All decisions are subject to the respective association's sole discretion. The information on limits is correct as at November 2019.",32,1961,4,281
How to apply for Credit card card fee waiver,"Credit Card Fee WaiverTo submit a credit card fee waiver request, please use any of the following options:Via Internet BankingLogin to OCBC Internet BankingGo to ""Customer Service""Select ""Credit card fee waiver""Via Mobile BankingLogin via OCBC Mobile Banking appTap on the top left menuTap on ""More services"" → ""Card services"" → ""Credit card fee waiver""Via Phone BankingHave your credit card readyCall us and when prompted, and say ""credit card fee waiver""Key in your 16-digit card number when promptedYour waiver request is subject to approval. You will be notified on the outcome immediately.",44,594,9,91
Pay your loan in full,"For full redemption of all loans for your mortgaged property, you will need to submit an application with theHome Loan Service Form2 months before the intended prepayment date. If your mortgaged property is an overseas property, you will need to submit an application with theHome Loan Service Form3 months before the intended prepayment date. If your loan is tagged to Singapore Inter-Bank Offer Rate (SIBOR), Singapore Overnight Rate (SOR) or Cost of Funds, the prepayment date will be the first Rate Review Date (RRD) after the notice period. You will need to pay interest in lieu if insufficient notice is given.Any cash reward you received may be clawed back. Clawback of cash reward and prepayment penalty (if any) will be indicated in the Letter of Offer (LO) or the latest Supplementary Letter of Offer (SLO).You can either choose to deduct the full redemption amount from the OCBC account used for your monthly instalments or arrange with your appointed law firm to write to the Bank to facilitate your request. If you appoint a law firm that is not on the panel, we have the right to appoint a firm on the panel to act for OCBC Bank; you will be charged legal fees by both law firms.If we have issues processing your request, you will receive an email from us with more details.",21,1288,5,223
Pay your loan partially,"You can make an ad-hoc payment to reduce your outstanding loan balance via cash, CPF or a combination of both for your Private Home Loan or HDB Home Loan by submitting your request with theHome Loan Service Form. You will need to submit an application with theHome Loan Service Form1 month before the intended prepayment date. If your loan is tagged to Singapore Inter-Bank Offer Rate (SIBOR), Singapore Overnight Rate (SOR) or Cost of Funds, the prepayment date will be the first Rate Review Date (RRD) after the required 1-month notice period. You will need to pay interest in lieu if insufficient notice is given.Your intended prepayment amount should be minimally S$5,000 and in multiples of S$1,000. Prepayment penalty (if any) will be based on your interest rate package and if your loan is still within lock-in period. Any such prepayment penalty will be indicated in the Letter of Offer (LO) or the latest Supplementary Letter of Offer (SLO).If your loan has been fully disbursed, you can choose to keep the instalment amount unchanged or revise the instalment amount accordingly. If you are using CPF funds to service your monthly instalment, you will need to inform CPF Board to revise the monthly amount deducted from CPF account to the Bank.The Bank will send a system-generated advice to you confirming:The receipt of noticeAmount of prepaymentEffective date of prepaymentYou can then instruct CPF Board on when to remit funds or arrange for cash to be credited to your direct debiting account on the effective date by:Completing online form CPF Form 4B (for Private Home Loan) or completing CPF Form HBL4 (for HDB Loan) atwww.cpf.gov.sg(log in with your Singpass)You will receive a system-generated advice informing you on the effective date and revised instalment amount after the prepayment has been made.If we have issues processing your request, you will receive an email from us with more details.",23,1916,4,313
Pay your bridging loan partially or fully,"If you intend to make a partial or full prepayment of your bridging loan, please downloadHome Loan Request Formto submit your request.",41,134,7,22
Cancel partial prepayment instruction,We will need to receive your notice at least 1 week before the proposed deduction date. Please include:Date of letter by the Bank to confirm your partial repayment instructionLoan account number and mortgage property detailsInstructions to cancel the repayment (indicate the amount)Sign the letter and submit it at any OCBC Bank branchormail it to:Loan Operations (Secured Loan)Bras Basah Post OfficeLocked Bag Service No. 8Singapore 911886,37,440,4,65
Change your loan interest rate package,Find out more information about repricing your existing home loan under theHome Loans Repricingpage. You can submit an application with theHome Loan Service Form.The Bank will be in touch with you in 2 working days after your application is submitted.,38,251,6,40
Shorten or lengthen your loan tenure,"You can submit an application with theHome Loan Service Form. There will be a processing fee of S$500 for your request.Your request is subjected to review by the Bank. It can only be processed if there are sufficient funds in your account for the deduction of the relevant fees (if any). Your monthly instalment amount will be revised thereafter. You will receive a system-generated advice once your request is processed.For your lengthening of loan tenure request, the Bank will be in touch with you in 2 working days after your application is submitted. For your shortening of loan tenure request, you will receive a system-generated advice once it is processed.If we have issues processing your request, you will receive an email from us with more details.",36,759,6,126
Change of debiting account,"You can submit aHome Loan Service Formapplication to change the debiting account of your loan. If you intend to change the debiting account of your home to a joint account operated with joint signing authority or a third party account, you may submit theConsent Form for Direct Debit Authorisation (First Party)orConsent Form for Direct Debit Authorisation (Third-Party)at any OCBC Bank branch or mail it to:Loan Operations (Secured Loan)Bras Basah Post OfficeLocked Bag Service No. 8Singapore 911886Once the request is processed, your monthly instalment as well as any fees relating to your home loan will be deducted from the new direct debiting account.",26,656,4,102
Cancel your fire insurance policy,"The fire insurance will be cancelled automatically upon full redemption of the housing loan if:An early full redemption is performed, and a lawyer was engaged to complete the redemption and discharging of the title deed or;The fire insurance was arranged by the Bank (e.g. Great Eastern General)",33,295,5,47
Request for home loan statements,"A home loan account statement will be sent to you every year, dated 31 December. If your property is an Australian or United Kingdom property, you will receive an additional statement dated 30 June or 30 April respectively.You can request your home loan account statements by submitting the Account Information Update/Request form available in the Accounts section at OCBC Help and Support > Banking forms. We do not charge for retrieving your loan statement for the current year. There will be a fee of S$50 plus Goods & Services Tax (GST) per statement for retrieving previous years’ statements.",32,597,5,98
Retrieve title deed after loan repayment,"You need to engage a lawyer who must write to us asking that your title deeds be discharged. Mail the request to:Loan Operations (Secured Loan)Bras Basah Post OfficeLocked Bag Service No. 8Singapore 911886If you do not write to us, the bank will appoint a lawyer who will contact you within 2 months.If you have not appointed a lawyer to represent yourself by then, you can appoint the bank’s lawyer to act for you. There is no timeline set as it depends on how quickly you respond to the lawyer.",40,496,6,89
Have OCBC Bank keep your title deed after loan repayment,"Send a written request to:Loan Operations (Secured Loan)Bras Basah Post OfficeLocked Bag Service No. 8Singapore 911886If your request is approved, there will be a custody fee of S$500 a year.",56,191,10,30
Receive insurance premium refund after cancellation,"There is no premium refund for fire insurance tagged to HDB property home loan. For fire insurance tagged to Private property home loan, it will take about 4-6 weeks for the premium to be credited to your Direct Debit Authorization (DDA) Account, depending on when the endorsement is done by OAC.In the event that your DDA Account is closed, we will send you a cashier's order.Upon cancellation of policy, you will receive:A letter, to inform you if funds have been credited to your account or sent to you as a cashier’s orderEndorsement Note states the effective date of cancellationTax Invoice shows the policy period and gives a breakdown of the charges",51,656,6,111
For more information on SIBOR FAQ in Chinese:,Please visit thiswebsite.,45,25,8,3
Modes of payment and cut-off times,FAST Funds transfer from any participating bank’s online banking platformAlmost instant once transaction is completed. Refer to the Association of Banks in Singapore’s website atwww.abs.org.sg/fast.phpfor a list of participating banks.Cheque paymentCut-off time of 3.30pm from Monday to Friday for next working day clearing.AXS machinesPayment via AXS terminals after 5pm or on a Sunday or public holiday will be credited on the next working day.Cash deposit machinesCut-off time of 9pm from Monday to Saturday. Deposits on a Sunday or public holiday will be considered Monday’s deposit.Payment at branchesFunds transferOnline fund transfers to other banks generally take 2 - 3 business days to clear whereas it is immediate if the transfers are between OCBC accounts.,34,768,6,113
Payment due date,"Your EasiCredit statement will be generated at the end of the calendar month.The due date for EasiCredit payment is 28 calendar days after the statement is generated (the “Payment Due Date”). If the Payment Due Date falls on a weekend or public holiday, the actual payment due date will fall on the previous business day.Current due dateNew due datePayment Due Date falls on a Saturday or a SundayFriday before the original Payment Due Date(assuming it is a business day)Payment Due Date falls on a Monday and is a public holidayFriday before the original Payment Due Date(assuming it is a business day)",16,603,3,101
EasiCredit Fees & Charges,You may view the summary of fees and charges for EasiCredithere.,25,64,4,11
Ways to get Credit Bureau Report,"If you wish to have a free credit report, you may obtain it within 30 calendar days from the date of approval or rejection of your EasiCredit application.Login towww.creditbureau.com.sgusing your Singpass credentials/ via the credit bureau website listed below.Visit the Credit Bureau Singapore office at 2 Shenton Way, #20-02 SGX Centre 1 Singapore 068804Please bring along your approval or rejection letter and your NRIC to the above credit bureau’s registered office to obtain a free credit report.For more information, you may visitwww.creditbureau.com.sgor contact Credit Bureau Singapore at(65) 6565 6363.",32,611,6,89
Washing,The ability to wash in the bath or shower (including getting into and out of the bath or shower) or wash by other means.,7,120,1,24
Dressing,"The ability to put on, take off, secure and unfasten all garments and, as appropriate, any braces, artificial limbs or other surgical or medical appliances.",8,156,1,25
Feeding,The ability to feed oneself food after it has been prepared and made available.,7,79,1,14
Toileting,The ability to use the lavatory or manage bowel and bladder function through the use of protective undergarments or surgical appliances if appropriate.,9,151,1,23
Walking or moving around,The ability to move indoors from room to room on level surfaces.,24,64,4,12
Transferring,"The ability to move from a bed to an upright chair or wheelchair, and vice versa.",12,81,1,16
Glossary,"First party policyThis means that the policyholder and life assured will be the same person.Free-look periodIt is a 14-day grace period to allow you to think about and review your insurance purchase. This will start from the day you receive your policy documents.During this time, if you choose to cancel the policy, the premiums that you have paid will be refunded back to you.After the free-look period, it is taken that you are committed to the policy. If you cancel the policy, there will not be any refund of the premiums paid.Life assuredIt is the person whose life is covered for in this policy.Participating fundThe money that you pay for the insurance plan will be invested in this fund, together with the premiums pooled from other policyholders.The bonuses may be smoothed to provide a stable medium- to long-term return. Bonuses made during the good years may be used to support the bonuses during down times.PolicyholderIt is the person who owns the insurance policy. This person has the right to make decisions regarding the policy.Policy termIt refers to how long the policy will last. For GREATLife Endowment Insurance 3, it will last from the start of the policy till the policy anniversary on which the life assured, named as such at the start of the policy, would be age 120 next birthday.The length of the policy term depends on your age of entry.Example: If you bought the plan at 40 years old (age next birthday) and you are also the life assured, the policy term will be 120 - 40 =80 years.During the policy term, you will be covered for death, TPD and TI.Regular premiumIt means that you will spread out your payment and pay your premiums regularly over a period of time.You willnotpay your premiums in one lump sum.Single premiumIt means that you will pay your premium in one lump sum at the start of the policy term.Surrender valueIt is the amount that you will get when you surrender the policy.Third party policyThis means that the policyholder can be a different person from the life assured. However, this is only possible under specific context, where there is insurable interest. Usually it will be based on a husband-wife relationship or parent-child relationship. For a parent-child relationship, the parent (policyholder) will be able to purchase the plan for the child (life assured) who is age 18 next birthday or below.This FAQ serves to explain the policy in brief only. The precise terms and conditions of this insurance plan are shown in the policy contract. Please refer to the Policy Illustration, Product Summary, and the policy contract for more information.",8,2603,1,437
Total and permanent disability, refers to an irrecoverable state of incapacity to perform any work or occupation to earn any income.It may also refer to the following total and irrecoverable disability:(a) loss of sight in both eyes; or(b) loss of the use of 2 limbs at or above the wrist or ankle; or(c) loss of the sight in 1 eye and loss of the use of 1 limb at or above the wrist or ankle.,30,362,4,71
Terminal illness, refers to a definite diagnosis of an illness that is expected to result in the life assured’s death within 12 months.,16,118,2,21
